Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration,
N/A,IGP_II_20170417,Specimen,Sample,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"83,031",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,830.31,
N/A,IGP_II_20170417,Specimen,Sample,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"40,162",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,401.62,
N/A,IGP_II_20170417,Specimen,Sample,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,830.31,
N/A,IGP_II_20170417,Specimen,Sample,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,368.02,
N/A,IGP_II_20170417,Specimen,Sample(1),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"53,391",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,533.91,
N/A,IGP_II_20170417,Specimen,Sample(1),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"35,761",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,357.61,
N/A,IGP_II_20170417,Specimen,Sample(1),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,533.91,
N/A,IGP_II_20170417,Specimen,Sample(1),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,335.08,
N/A,IGP_II_20170417,Specimen,Sample(2),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"86,958",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,869.58,
N/A,IGP_II_20170417,Specimen,Sample(2),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"47,624",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,476.24,
