hr,B,B,B,B,B,C,C,C,C,C,B_250,B_250,B_250,B_250,B_250,C_250,C_250,C_250,C_250,C_250,B_10,B_10,B_10,B_10,B_10,C_10,C_10,C_10,C_10,C_10
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,4,0,20,0,0,20,0,2,0,0,0,36,20,12,10,0,0,0,0,4,0,40,0,80,20,60
108,2,0,2,2,0,20,40,20,0,0,0,6,0,4,12,18,22,20,6,6,0,4,2,4,4,40,0,40,20,20
161,6,2,6,0,1,60,20,40,28,26,2,8,0,4,8,4,28,20,14,22,8,2,0,2,8,20,60,60,100,20
178,8,4,14,6,2,140,20,60,20,20,8,2,6,0,10,18,70,24,34,28,4,4,4,2,12,120,40,40,160,0
226,6,6,10,8,1,100,1120,80,40,0,0,6,2,4,4,24,56,26,10,30,4,0,8,4,10,100,60,30,60,0
254,6,6,12,6,6,140,40,20,0,0,4,2,4,8,4,20,48,8,12,16,14,8,2,4,4,6,10,8,56,6
301,6,6,18,10,2,28,32,24,8,2,1,0,4,2,4,12,28,4,14,6,2,2,14,10,4,20,20,20,60,0
328,10,10,16,10,4,40,20,60,4,10,0,0,0,2,2,8,24,2,4,22,4,10,8,4,2,300,20,40,60,0
378,4,10,18,12,8,20,20,20,0,0,2,0,0,0,4,8,16,12,12,22,16,2,2,8,2,160,20,0,100,0
421,8,6,22,14,6,100,0,0,0,0,4,0,0,0,8,6,8,6,4,24,2,2,0,6,2,140,0,80,0,40
474,8,12,14,14,4,40,10,10,0,10,3,8,6,0,18,0,0,6,0,6,6,6,2,2,0,140,0,80,80,0
495,2,14,22,22,8,80,10,40,10,10,4,6,4,0,14,4,2,0,6,28,4,6,6,8,2,60,40,20,40,0
