hr,B00,B00,B00,C00,C00,C00,B02,B02,B02,C02,C02,C02,B04,B04,B04,C04,C04,C04,B06,B06,B06,C06,C06,C06,B08,B08,B08,B08,C08,C08,C08,C08,B10,B10,B10,B10,B10,C10,C10,C10,C10,C10
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
34,0,0,0,180,140,140,0,0,0,160,180,140,0,0,0,160,180,200,0,0,0,160,140,180,0,0,0,0,160,140,100,120,0,0,0,0,0,140,160,140,160,100
83,2,3,0,180,200,120,0,0,4,240,280,210,2,0,0,180,420,280,2,2,0,280,300,480,2,6,2,0,380,500,400,80,4,2,2,0,4,180,200,180,360,200
136,10,2,8,240,180,120,2,4,8,420,300,480,10,2,4,320,360,300,6,0,2,240,280,480,2,10,4,2,300,320,460,80,2,2,4,4,2,200,240,300,480,240
185,8,2,10,260,100,110,4,12,12,240,200,180,8,4,16,200,160,120,8,2,8,180,120,340,10,2,4,8,360,280,320,120,10,2,10,6,2,200,160,140,240,120
207,8,2,8,300,140,140,8,8,10,220,220,160,2,14,8,120,140,100,12,2,6,180,100,220,8,1,4,4,220,160,280,90,6,2,4,6,4,120,260,100,180,120
248,2,4,8,220,180,140,2,4,8,200,160,220,2,8,2,200,140,120,8,6,1,120,120,160,6,4,6,4,200,140,180,80,4,4,2,2,1,100,180,100,80,100
298,1,6,4,200,120,120,1,2,12,240,120,200,1,6,4,180,120,80,6,4,2,80,80,200,4,1,1,6,180,100,100,60,6,2,4,2,1,100,140,80,100,80
320,1,2,4,240,100,140,1,4,6,220,100,120,2,8,1,220,80,80,8,2,1,140,120,80,6,1,4,4,160,100,80,60,6,2,1,4,2,80,60,60,100,80
368,6,1,2,200,100,120,2,1,4,200,120,220,6,1,1,140,60,180,6,1,4,180,60,160,4,2,1,8,120,80,80,60,4,2,2,2,4,80,80,40,60,70
414,2,1,6,180,120,100,2,2,6,180,80,160,2,4,2,200,60,140,6,2,1,80,60,100,4,1,2,6,120,100,80,60,6,4,1,2,2,60,80,60,60,100
468,2,1,2,160,80,180,1,1,4,120,100,140,1,6,2,220,80,60,2,1,6,100,60,80,1,1,4,6,60,80,60,40,6,2,1,6,2,20,100,60,40,40
486,4,2,1,220,120,100,4,2,1,160,100,80,2,6,2,120,60,40,6,2,1,60,60,60,1,4,2,4,60,80,60,30,2,2,4,4,1,20,120,60,80,20
535,2,4,6,60,40,120,2,4,0,60,40,50,2,8,2,40,60,20,0,1,4,40,60,40,0,2,0,2,40,60,20,40,1,4,0,0,0,60,80,20,40,10
581,0,0,4,100,20,20,2,2,2,80,40,20,2,0,1,20,50,20,0,2,2,40,10,42,0,0,0,2,20,20,10,10,2,2,2,0,2,40,40,20,20,0
609,2,0,8,20,0,20,0,0,0,20,10,0,0,2,2,0,20,20,1,0,0,20,2,1,0,0,0,0,20,10,0,0,0,1,1,2,0,0,20,20,0,0
