alpha,R1,R2,C,P
0,0.238095239,12.61904762,2.797619047,2.227891157
0.01,0.417224099,12.38293916,2.778281671,2.259585951
0.02,0.598585162,12.14855795,2.758820062,2.291175404
0.03,0.782153302,11.91593552,2.73923689,2.32265524
0.04,0.967902802,11.68510291,2.719534863,2.354021217
0.05,1.155807365,11.45609065,2.699716714,2.385269122
0.06,1.345840131,11.22892877,2.679785209,2.41639478
0.07,1.53797368,11.00364674,2.659743143,2.447394052
0.08,1.732180056,10.78027353,2.639593334,2.478262839
0.09,1.928430773,10.55883751,2.61933863,2.50899708
0.1,2.126696833,10.33936652,2.5989819,2.53959276
0.11,2.326948735,10.12188779,2.57852604,2.570045906
0.12,2.529156496,9.90642799,2.557973963,2.60035259
0.13,2.733289661,9.693013169,2.537328605,2.630508934
0.14,2.93931732,9.481668774,2.51659292,2.660511107
0.15,3.147208122,9.272419628,2.495769882,2.69035533
0.16,3.356930291,9.065289927,2.474862476,2.720037875
0.17,3.568451643,8.860303228,2.453873707,2.74955507
0.18,3.7817396,8.657482442,2.432806591,2.778903296
0.19,3.996761206,8.456849823,2.411664155,2.808078991
0.2,4.213483146,8.258426966,2.390449438,2.837078652
0.21,4.431871759,8.062234795,2.369165488,2.865898835
0.22,4.651893056,7.868293558,2.34781536,2.894536156
0.23,4.873512738,7.676622824,2.326402115,2.922987295
0.24,5.096696213,7.487241472,2.304928821,2.951248993
0.25,5.321408608,7.300167691,2.283398547,2.979318055
0.26,5.547614794,7.115418974,2.261814365,3.007191353
0.27,5.775279395,6.933012113,2.240179348,3.034865823
0.28,6.004366812,6.752963194,2.218496569,3.062338473
0.29,6.234841236,6.575287599,2.196769097,3.089606373
0.3,6.466666667,6.4,2.175,3.116666667
0.31,6.699806928,6.227114356,2.153192339,3.143516566
0.32,6.934225689,6.056643915,2.131349171,3.170153355
0.33,7.169886477,5.888601208,2.109473544,3.196574388
0.34,7.406752696,5.722998056,2.087568499,3.22277709
0.35,7.644787645,5.55984556,2.065637066,3.248758963
0.36,7.883954533,5.39915411,2.043682263,3.274517579
0.37,8.124216499,5.240933383,2.021707097,3.300050584
0.38,8.365536624,5.085192341,1.999714562,3.3253557
0.39,8.607877951,4.931939239,1.977707635,3.350430723
0.4,8.851203501,4.781181619,1.955689278,3.375273523
0.41,9.095476289,4.632926323,1.933662436,3.399882047
0.42,9.340659341,4.487179487,1.911630037,3.424254317
0.43,9.586715707,4.343946549,1.889594986,3.448388431
0.44,9.83360848,4.203232253,1.86756017,3.472282561
0.45,10.08130081,4.06504065,1.845528455,3.495934959
0.46,10.32975593,3.929375108,1.823502683,3.51934395
0.47,10.57893714,3.796238312,1.801485672,3.542507936
0.48,10.82880786,3.665632273,1.779480217,3.565425394
0.49,11.07933163,3.537558332,1.757489086,3.58809488
0.5,11.3304721,3.412017167,1.735515021,3.610515021
0.51,11.5821931,3.289008801,1.713560737,3.632684525
0.52,11.83445859,3.168532604,1.691628921,3.654602171
0.53,12.08723273,3.050587307,1.669722228,3.676266814
0.54,12.34047984,2.935171006,1.647843287,3.697677386
0.55,12.59416446,2.822281167,1.625994695,3.718832891
0.56,12.84825133,2.711914641,1.604179016,3.739732407
0.57,13.10270544,2.604067668,1.582398784,3.760375087
0.58,13.35749199,2.498735884,1.560656498,3.780760155
0.59,13.61257645,2.395914336,1.538954625,3.800886909
0.6,13.86792453,2.295597484,1.517295597,3.820754717
0.61,14.12350223,2.197779218,1.495681813,3.84036302
0.62,14.37927582,2.102452862,1.474115635,3.85971133
0.63,14.63521188,2.009611184,1.452599388,3.878799226
0.64,14.89127728,1.91924641,1.431135364,3.897626359
0.65,15.14743921,1.831350233,1.409725815,3.916192447
0.66,15.40366518,1.745913819,1.388372957,3.934497276
0.67,15.65992303,1.662927823,1.367078968,3.952540699
0.68,15.91618094,1.582382399,1.34584599,3.970322634
0.69,16.17240744,1.504267207,1.324676122,3.987843065
0.7,16.42857143,1.428571429,1.303571429,4.005102041
0.71,16.68464215,1.355283775,1.282533933,4.022099672
0.72,16.94058924,1.284392501,1.26156562,4.038836133
0.73,17.19638269,1.215885411,1.240668434,4.055311659
0.74,17.4519929,1.149749879,1.219844279,4.071526545
0.75,17.70739065,1.085972851,1.199095023,4.087481146
0.76,17.96254712,1.024540861,1.178422488,4.103175876
0.77,18.21743389,0.965440045,1.157828459,4.118611206
0.78,18.47202296,0.908656145,1.137314682,4.133787661
0.79,18.72628672,0.85417453,1.116882859,4.148705826
0.8,18.98019802,0.801980198,1.096534653,4.163366337
0.81,19.23373009,0.752057796,1.076271688,4.177769882
0.82,19.4868566,0.704391626,1.056095545,4.191917204
0.83,19.73955167,0.658965659,1.036007766,4.205809096
0.84,19.99178982,0.615763547,1.016009852,4.219446399
0.85,20.24354603,0.574768631,0.996103264,4.232830005
0.86,20.49479571,0.535963958,0.976289421,4.245960851
0.87,20.74551472,0.499332288,0.956569703,4.258839923
0.88,20.99567935,0.464856107,0.936945452,4.271468251
0.89,21.24526633,0.432517637,0.917417966,4.283846908
0.9,21.49425287,0.402298851,0.897988506,4.295977011
0.91,21.7426166,0.374181478,0.878658292,4.30785972
0.92,21.99033559,0.348147021,0.859428506,4.319496233
0.93,22.23738839,0.324176762,0.84030029,4.330887789
0.94,22.48375397,0.302251776,0.821274747,4.342035666
0.95,22.72941176,0.282352941,0.802352941,4.352941176
0.96,22.97434166,0.26446095,0.783535899,4.363605672
0.97,23.21852399,0.248556318,0.764824609,4.374030537
0.98,23.46193952,0.234619395,0.746220021,4.384217191
0.99,23.70456949,0.222630378,0.727723048,4.394167084
1,23.94639556,0.212569316,0.709334566,4.403881701
