Plate Name,Experiment Name,Specimen Name,trmt,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
N/A,IGP_II_20170417,Specimen,T0_00_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"86,958",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1069.5834
N/A,IGP_II_20170417,Specimen,T0_00_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"47,624",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,585.7752
N/A,IGP_II_20170417,Specimen,T0_00_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1069.5834
N/A,IGP_II_20170417,Specimen,T0_00_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,540.4374
N/A,IGP_II_20170417,Specimen,T0_00_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1366.666667
N/A,IGP_II_20170417,Specimen,T0_00_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"49,471",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,676.1036669
N/A,IGP_II_20170417,Specimen,T0_00_4,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1366.666667
N/A,IGP_II_20170417,Specimen,T0_00_4,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,625.3183335
N/A,IGP_II_20170417,Specimen,T0_00_5,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"92,764",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1140.9972
N/A,IGP_II_20170417,Specimen,T0_00_5,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"47,848",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,588.5304
N/A,IGP_II_20170417,Specimen,T0_00_5,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1140.9972
N/A,IGP_II_20170417,Specimen,T0_00_5,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,541.4214
N/A,IGP_II_20170417,Specimen,T0_02_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"60,984",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,789.0085526
N/A,IGP_II_20170417,Specimen,T0_02_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"40,041",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,581.6966971
N/A,IGP_II_20170417,Specimen,T0_02_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,789.0085526
N/A,IGP_II_20170417,Specimen,T0_02_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,532.6232789
N/A,IGP_II_20170417,Specimen,T0_02_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1176.470588
N/A,IGP_II_20170417,Specimen,T0_02_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"48,648",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,572.329412
N/A,IGP_II_20170417,Specimen,T0_02_4,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1176.470588
N/A,IGP_II_20170417,Specimen,T0_02_4,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,526.364706
N/A,IGP_II_20170417,Specimen,T0_02_5,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1538.461538
N/A,IGP_II_20170417,Specimen,T0_02_5,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"44,950",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,691.538462
N/A,IGP_II_20170417,Specimen,T0_02_5,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1538.461538
N/A,IGP_II_20170417,Specimen,T0_02_5,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,630.569231
N/A,IGP_II_20170417,Specimen,T0_04_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1315.789474
N/A,IGP_II_20170417,Specimen,T0_04_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"43,909",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,677.75
N/A,IGP_II_20170417,Specimen,T0_04_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1315.789474
N/A,IGP_II_20170417,Specimen,T0_04_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,636.013158
N/A,IGP_II_20170417,Specimen,T0_04_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1322.580645
N/A,IGP_II_20170417,Specimen,T0_04_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"38,690",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,618.4916133
N/A,IGP_II_20170417,Specimen,T0_04_4,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1322.580645
N/A,IGP_II_20170417,Specimen,T0_04_4,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,567.8500004
N/A,IGP_II_20170417,Specimen,T0_04_5,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1086.956522
N/A,IGP_II_20170417,Specimen,T0_04_5,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"50,380",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,547.608696
N/A,IGP_II_20170417,Specimen,T0_04_5,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1086.956522
N/A,IGP_II_20170417,Specimen,T0_04_5,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,500.065217
N/A,IGP_II_20170417,Specimen,T0_06_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1474.576271
N/A,IGP_II_20170417,Specimen,T0_06_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"42,976",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,633.7138986
N/A,IGP_II_20170417,Specimen,T0_06_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1474.576271
N/A,IGP_II_20170417,Specimen,T0_06_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,578.1666101
N/A,IGP_II_20170417,Specimen,T0_06_2,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1606.104878
N/A,IGP_II_20170417,Specimen,T0_06_2,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"35,632",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,572.2872904
N/A,IGP_II_20170417,Specimen,T0_06_2,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1606.104878
N/A,IGP_II_20170417,Specimen,T0_06_2,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,496.7842998
N/A,IGP_II_20170417,Specimen,T0_06_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2175
N/A,IGP_II_20170417,Specimen,T0_06_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"27,675",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,601.93125
N/A,IGP_II_20170417,Specimen,T0_06_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2175
N/A,IGP_II_20170417,Specimen,T0_06_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,525.15375
N/A,IGP_II_20170417,Specimen,T0_08_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,6692.307692
N/A,IGP_II_20170417,Specimen,T0_08_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"34,516",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,670.3015381
N/A,IGP_II_20170417,Specimen,T0_08_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,6692.307692
N/A,IGP_II_20170417,Specimen,T0_08_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,459.426923
N/A,IGP_II_20170417,Specimen,T0_08_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"79,708",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1848.056807
N/A,IGP_II_20170417,Specimen,T0_08_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"51,270",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,541.4806441
N/A,IGP_II_20170417,Specimen,T0_08_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1848.056807
N/A,IGP_II_20170417,Specimen,T0_08_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,433.6465297
N/A,IGP_II_20170417,Specimen,T0_08_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,3022.105264
N/A,IGP_II_20170417,Specimen,T0_08_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"46,856",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,609.9212841
